qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_Is_imprisoned_in_the|Is imprisoned in the dungeon of {s44}{***};;;;
qstr_{s54}_is_a_claimant_|{s54} est prétendant au trône du {s56}.
qstr_nowhere|Nulle part
qstr_{s57}_and_{s58}|{s57} et {s58}
qstr_{reg3?She:He}|{reg3?Elle:Il}
qstr_The_town_of_{s50}|La ville de {s50}
qstr_The_village_of_{s50}|Le village de {s50} près de {s52}
qstr_{s51}_belongs_to_{s1|{s51} appartient à {s1} du {s2}.^^
qstr_{s7}_and_{s8}|{s7} et {s8}
qstr_{s2}It_has_no_villag|{s2} n'a pas de village.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Ses fiefs sont:Son fief est} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Sa Prospérité est : {s50}
qstr_{s9}_and_{s10}|{s9} et {s10}
qstr_{s7}_opened_the_gate|{s7} a ouvert les portes
qstr_{s7}_closed_the_gate|{s7} a fermé les portes
qstr_You_are_hurt_close_t|You are hurt, close to death, weak and blood soaked. You need to be healed quickly.{***};;;;
qstr_As_life_fades_you_re|As life fades you're struck with the fury of combat and refuse to die. Adrenalin takes hold and today, you say no to death.{***};;;;
qstr_You_re_so_tired_you_|You're so tired you can barely move a muscle.{***};;;;
qstr_You_heal.|You heal.{***};;;;
qstr_{s0}_|{s0} {***};;;;
qstr_+{reg1}_to_party_mor|+{reg1} au moral du groupe
qstr_Increases_party_mora|Increases party morale^ and improves leadership and tactics skills{***};;;;
qstr_Musical_Instruments:|Musical Instruments: Increases entertainment{***};;;;
qstr_Also_known_as_Dragon|Also known as Dragonglass,^formed from a volcanic gas{***};;;;
qstr_The_ancestral_sword_|The ancestral sword of House Dayne.^Said to be made from metal forged from the heart of a fallen star{***};;;;
qstr_Valyrian_steel.^Exce|Valyrian steel.^Exceptionally sharp and tremendously strong, yet light,^keeping its edge and requiring no maintenance.^This weapon will never break{***};;;;
qstr_A_Valyrian_Warhammer|A Valyrian Warhammer once owned by King Robert Baratheon.^This weapon will never break{***};;;;
qstr_The_ancestral_Valyri|The ancestral Valyrian steel sword of House Stark.^Exceptionally sharp and tremendously strong, yet light.^This weapon will never break{***};;;;
qstr_The_ancestral_Valyria|The ancestral Valyrian steel sword of House Mormont.^Exceptionally sharp and tremendously strong, yet light.^This weapon will never break{***};;;;
qstr_Just_a_random_sword|Just a random sword{***};;;;
qstr_A_sword_made_of_ice|A sword made of ice{***};;;;
qstr_Requires_{reg1}_inte|Comprendre ce livre nécessite {reg1} en intelligence
qstr_Reading_Progress:_{r|Reading Progress: {reg1}%{***};;;;
qstr_wound_treatment|wound treatment{***};;;;
qstr_training|training{***};;;;
qstr_surgery|Chirurgie
qstr_persuasion|persuasion
qstr_+1_to_{s1}_while_in_|+1 à la compétence {s1} si dans l'inventaire
qstr__^|^
qstr__2_speed^_2_manoeuvr|-2 speed^-2 manoeuvre^{***};;;;
qstr__5_speed^_5_manoeuvr|-5 speed^-5 manoeuvre^{***};;;;
qstr_+3_armour^+4_charge^|+3 armour^+4 charge^+10 hit points^{***};;;;
qstr__1_requirement_of_ri|-1 nécessité cavalerie
qstr_+1_requirement_of_ri|+1 nécessité cavalerie^+5 points dégats
qstr_+1_speed^+1_armour^+|+1 speed^+1 armour^+1 charge^{***};;;;
qstr_+2_requirement_of_ri|+2 nécessité cavalerie^+2 vitesse^+2 armure^+2 charge
qstr_{s1}_Improves_foragi|{s1} Improves foraging skill{***};;;;
qstr_{s1}_Increases_inven|{s1} Increases inventory capacity{***};;;;
qstr__56_hit_points^_4_re|-56 points dégats^-4 résistance
qstr__26_hit_points^_2_re|-26 points dégats^-2 résistance
qstr_+47_hit_points^+2_re|+47 points dégats^+2 résistance
qstr_+83_hit_points^+4_re|+83 points dégats^+4 résistance
qstr_{s2}_Heavy_Equipment|{s2} Heavy Equipment: Penalties in certain skills{***};;;;
qstr_{s2}_Medium_Equipmen|{s2} Medium Equipment: Penalties in certain skills{***};;;;
qstr___4_to_body_armour^| -4 to body armour^{***};;;;
qstr___3_to_body_armour^| -3 to body armour^{***};;;;
qstr___2_to_body_armour^| -2 to body armour^{***};;;;
qstr___1_to_body_armour^| -1 to body armour^{***};;;;
qstr__+1_to_body_armour^| +1 to body armour^{***};;;;
qstr__+2_to_body_armour^| +2 to body armour^{***};;;;
qstr__+3_to_body_armour^| +3 to body armour^{***};;;;
qstr__+4_to_body_armour^| +4 to body armour^{***};;;;
qstr__+6_to_body_armour^| +6 to body armour^{***};;;;
qstr_{s1}_Heavy_Armour:_H|{s1} Heavy Armour: High Penalties in certain skills{***};;;;
qstr_{s1}_Medium_Armour:_|{s1} Medium Armour: Penalties in certain skills{***};;;;
qstr_{s1}_Religious_Equip|{s1} Religious Equipment: Increases persuasion{***};;;;
qstr_{s1}_Gives_advantage|{s1} Gives advantages in certain skills{***};;;;
qstr___4_to_head_armour^| -4 to head armour^{***};;;;
qstr___3_to_head_armour^| -3 to head armour^{***};;;;
qstr___2_to_head_armour^| -2 to head armour^{***};;;;
qstr___1_to_head_armour^| -1 to head armour^{***};;;;
qstr__+1_to_head_armour^| +1 to head armour^{***};;;;
qstr__+2_to_head_armour^| +2 to head armour^{***};;;;
qstr__+3_to_head_armour^| +3 to head armour^{***};;;;
qstr__+4_to_head_armour^| +4 to head armour^{***};;;;
qstr__+6_to_head_armour^| +6 to head armour^{***};;;;
qstr___4_to_leg_armour^| -4 to leg armour^{***};;;;
qstr___3_to_leg_armour^| -3 to leg armour^{***};;;;
qstr___2_to_leg_armour^| -2 to leg armour^{***};;;;
qstr___1_to_leg_armour^| -1 to leg armour^{***};;;;
qstr__+1_to_leg_armour^| +1 to leg armour^{***};;;;
qstr__+2_to_leg_armour^| +2 to leg armour^{***};;;;
qstr__+3_to_leg_armour^| +3 to leg armour^{***};;;;
qstr__+4_to_leg_armour^| +4 to leg armour^{***};;;;
qstr__+6_to_leg_armour^| +6 to leg armour^{***};;;;
qstr_{reg1?_5_swing_damag|{reg1?-5 estoc^:}{reg2?-5 coup^:}
qstr_{reg1?_3_swing_damag|{reg1?-3 estoc^:}{reg2?-3 coup^:}
qstr_{reg1?_3_swing_damage|{reg1?-3 estoc^:}{reg2?-3 coup^:}-3 vitesse
qstr_{reg1?_1_swing_damag|{reg1?-1 estoc^:}{reg2?-1 coup^:}
qstr_{reg1?+3_swing_damag|{reg1?+3 estoc^:}{reg2?+3 coup^:}+3 vitesse
qstr_{reg1?+4_swing_damag|{reg1?+4 estoc^:}{reg2?+4 coup^:}
qstr_{reg1?+5_swing_damag|{reg1?+5 estoc^:}{reg2?+5 coup^:}+1 vitesse{reg3?^+4 nécessité force:}
qstr_{reg1?+2_swing_damag|{reg1?+2 estoc^:}{reg2?+2 coup^:}-2 vitesse{reg3?^+1 nécessité force:}
qstr__5_damage|-5 dégâts
qstr__3_damage^_3_speed|-3 dégâts^-3 vitesse
qstr_+3_damage^_3_speed{r|+3 dégâts^-3 vitesse{reg3?^+2 nécessité puissance de tension:}
qstr_+5_damage^+1_speed{r|+5 dégâts^+1 vitesse{reg3?^+4 nécessité puissance de tension:}
qstr_+13%_max_ammo|+13% max munitions
qstr_+2_damage^_2_speed{r|+2 dégâts^-2 vitesse{reg3?^+1 nécessité puissance de jet:}
qstr_+3_damage^+3_speed|+3 dégâts^+3 vitesse
qstr__3_damage|-3 dégâts
qstr_Move_here|Aller ici
qstr_View_notes|Voir notes
qstr_Send_Spy|Send Spy{***};;;;
qstr_Retrieve_Spy|Retrieve Spy{***};;;;
qstr_Order_Sabotage|Order Sabotage{***};;;;
qstr_Add_custom_note|Add custom note{***};;;;
qstr_Send_messenger|Send messenger{***};;;;
qstr_Accompany|Accompagner
qstr_Find_landing_point|Find landing point{***};;;;
qstr_Select_as_target|Select as target{***};;;;
qstr__{s61}_{s62}_|{s61}({s62})
qstr_killed_or_seriously_|killed or seriously wounded{***};;;;
qstr_minor_wounded|minor wounded{***};;;;
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOTAL: {reg3} ({s2})
qstr_^None|^Aucune
qstr_nothing|Rien
qstr_{reg0}_village{reg1?|{reg0} village{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} château{reg1?x:}
qstr_{reg0}_castle{reg1?s:|{reg0} château{reg1?x:} et {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} ville{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} ville{reg1?s:} et {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} ville{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Vos adversaires sont prêts à se battre.
qstr_Try_to_destroy_as_ma|Essayez de détruire autant de cibles que possible. Vous avez deux minutes et demie pour finir.
qstr_Stay_behind_the_line|Restez derrière la ligne au sol et visez les cibles. Essayez de ne pas rater de tir.
qstr_Garrison_Troops|Garrison Troops{***};;;;
qstr_Camp_Troops|Camp Troops{***};;;;
qstr_Settlement_Troops|Settlement Troops{***};;;;
qstr_Even_though_nearby_{|Even though nearby, {s1} does not come to your aid.{***};;;;
qstr___AMBUSH_BONUS:_6_| (AMBUSH BONUS: 6){***};;;;
qstr___AMBUSH_BONUS:_3_| (AMBUSH BONUS: 3){***};;;;
qstr___AMBUSH_MALUS:_6_| (AMBUSH MALUS: 6){***};;;;
qstr___AMBUSH_MALUS:_10_| (AMBUSH MALUS: 10){***};;;;
qstr_Battle_Advantage_=_{|Avantage tactique = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} veut que vous suiviez son armée jusqu'à nouvel ordre.
qstr__Being_Raided_|(En train d'être pillé)
qstr__Looted_|(Pillé)
qstr__Under_Siege_|(Assiégé)
qstr_The_village_of_{s1}_|{s1} a été pillé par les {s2}.
qstr_{s3}_is_no_longer_un|Le siège de {s3} a été levé.
qstr_Some_enemy_straggler|Some enemy stragglers have been spotted near {s1}.{***};;;;
qstr_Small_enemy_patrols_|Small enemy patrols have been spotted near {s1}.{***};;;;
qstr_Enemy_patrols_spotte|Patrouille ennemie repérée près de {s1}.
qstr_Large_enemy_patrols_|Large enemy patrols spotted near {s1}.{***};;;;
qstr_Significant_group_of|Important groupe d'ennemis repéré près de {s1}.
qstr_Army_of_enemies_spot|Armée ennemie repérée près de {s1}.
qstr_Large_army_of_enemie|Grande armée ennemie repérée près de {s1}.
qstr_Great_host_of_enemie|Gigantesque armée ennemie repérée près de {s1}.
qstr__{s10}_of_{s13}_recr|{s10} du {s13} recrute {s11} {s12} à {s14}
qstr_Your_duel_with_{s1}_|Your duel with {s1} was cancelled due to unforeseen circumstances.{***};;;;
qstr_debug:__party_is_hir|debug:  party is hired to engage army.{***};;;;
qstr_{s1}_has_been_besieg|{s1} est assiégée par le {s2} du {s3}.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11} : {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s5}_has_the_greates|{s5} a le plus grand soutien parmi les seigneurs du {s4} pour être le prochain maréchal. Cela contrarie {s0} mais ne peut invalider leur choix.
qstr_{s5}_has_the_greatest|{s5} a le plus grand soutien parmi les seigneurs du {s4} pour recevoir {s1}. Cela contrarie {s0} mais ne peut invalider leur choix.
qstr_{s1}_is_the_new_mars|{s1} est le nouveau maréchal du {s2}.
qstr_You_gained_{reg12}_r|Votre renommée augmente de {reg12}.
qstr_You_lose_{reg12}_ren|Votre renommée diminue de {reg12}.
qstr_Your_relation_with_{|Vos relations avec {s1} se sont améliorées.
qstr_Your_relation_with_{s|Vos relations avec {s1} se sont détériorées.
qstr_You_have_angered_the|You have angered them.{***};;;;
qstr_You_have_appeased_th|You have appeased them.{***};;;;
qstr_You_gain_reputation.|You gain reputation.{***};;;;
qstr_You_lose_reputation.|You lose reputation.{***};;;;
qstr_Now_player_reputatio|Now player reputation is {reg1}{***};;;;
qstr_The_{s1}_has_declare|The {s1} has declared war against the {s2}.{***};;;;
qstr_The_{s15}_complies_w|The {s15} complies with its alliance with the {s17} by attacking the {s16}.{***};;;;
qstr_{s1}_and_{s2}_have_m|{s1} et {s2} ont signé un traité de paix.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?était:est en ce moment} à {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?était:est} en route pour {s3} et {reg4?elle:il} {reg3?était:devrait être} près de {s4}{reg3?: en ce moment}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?était:est} en campagne et {reg4?elle:il} {reg3?était:devrait être} près de {s3}{reg3?: en ce moment}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?était:est} prisonnier à {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?était:est} aux mains de ses ennemis.
qstr_{reg3?{s2}_s_locatio|{reg3?L'endroit où {s2} se trouvait était inconnu: Je ne sais pas où est {s2}}.
qstr_{s6}_has_joined_your|{s6} a rejoint votre groupe.
qstr_You_now_owe_{reg2}_s|You now owe {reg2} cerfs d'argent to {s1}.{***};;;;
qstr_Royal_guardian|Royal guardian{***};;;;
qstr_Renown_value_for_thi|La victoire augmente votre renommée de {reg8}.
qstr_You_have_run_into_a_|Vous êtes tombé dans une embuscade !
qstr_You_are_attacked_by_|Vous êtes assailli par un groupe de bandits !
qstr_Holding|Tenir la position
qstr_Following|Suivre
qstr_Charging|Charger
qstr_Advancing|Avancer
qstr_Falling_Back|Reculer
qstr_Standing_Closer|Resserrer les rangs
qstr_Spreading_Out|Disperser les rangs
qstr_Standing|Rester en position
qstr_Free|Libre
qstr_Any_Weapon|Toutes les armes
qstr_Blunt_Weapons|Armes non-léthales
qstr_Your_soldiers_patroll|{s6}, votre patrouille est dissoute parce que vous avez perdu la faction !
qstr_{s1}_Rebels|{s1} Rebelles
qstr_Given_by:_{s62}|Donnée par : {s62}
qstr_Given_on:_{s60}|Donnée le : {s60}
qstr_You_have_{reg0}_days|Vous avez {reg0} jours pour finir cette quête.
qstr_This_quest_has_been_|Cette mission a été accomplie, parlez à {s59} pour la terminer.
qstr_This_quest_has_been_s|Cette quête est un succès, parlez à {s59} pour obtenir votre récompense.
qstr_This_quest_has_faile|Cette quête est un échec, parlez à {s59} pour lui expliquer la situation.
qstr_At_the_time_the_ques|At the time the quest was given:^{s1}{***};;;;
qstr_{s5}_has_a_strength_|Le {s5} dispose de {reg1} hommes.
qstr_The_last_time_you_sa|La dernière fois que vous l'avez {reg1?vue:vu}, {s1}
qstr_The_last_time_you_he|La dernière fois que vous avez entendu parler {reg1?d'elle:de lui}, {s1}
qstr_{s6}_{s7}|{s6} {s7},{***};;;;
qstr_The_following_lords_|The following lords are held prisoner here: {s6}{***};;;;
qstr_There_are_no_lords_h|There are no lords held prisoner here.{***};;;;
qstr_Current_garrison_con|La garnison actuelle est constituée de {reg5} hommes.^Il y a de la nourriture pour {reg6} jours.
qstr_Very_Poor|Très pauvre
qstr_Poor|Pauvre
qstr_Average|Moyenne
qstr_Rich|Riche
qstr_Very_Rich|Très Riche
qstr_Manor|Manoir
qstr_A_manor_lets_you_res|Un manoir vous permet de vous reposer dans le village et de réduire de moitié la solde de vos troupes tant que vous y serez.
qstr_Mill|Moulin
qstr_A_mill_increases_vil|Un moulin permet aux villageois de travailler plus efficacement et augmente la prospérité du village de 5%.
qstr_Watch_Tower|Tour de guet
qstr_A_watch_tower_lets_t|Une tour de guet permet aux villageois d'être avertis plus tôt en cas d'attaque. Le temps requis aux ennemis pour piller le village est augmenté de 25%.
qstr_School|École
qstr_A_school_increases_t|A school increases the loyalty of the villagers to you by +1 every week.{***};;;;
qstr_Messenger_Post|Poste de messager
qstr_A_messenger_post_let|Un poste de messager permet aux habitants de vous envoyer un message quand des ennemis sont à proximité, même si vous êtes très loin d'ici.
qstr_Prison_Tower|Tour de prison
qstr_A_prison_tower_reduc|Une tour de prison permet de mieux surveiller les prisonniers et réduit les chances d'évasions.
qstr_You_invite_a_drowned|You invite a drowned man to influence the people here to worship the Drowned God.{***};;;;
qstr_Weirwood_tree|Weirwood tree{***};;;;
qstr_Plant_a_weirwood_tre|Plant a weirwood tree to remember your ancestors and worship the Old Gods.{***};;;;
qstr_Temple_of_R_hllor|Temple of R'hllor{***};;;;
qstr_Build_a_temple_to_sp|Build a temple to spread the strength of R'hllor.{***};;;;
qstr_Septry|Septry{***};;;;
qstr_Build_a_septry_to_in|Build a septry to increase the worship of the Seven Faced God.{***};;;;
qstr_Large_septry_of_the_|Large septry of the Seven Faced God{***};;;;
qstr_Build_a_large_sept_t|Build a large sept to increase the worship of the Seven further.{***};;;;
qstr_The_Drowned_God_shri|The Drowned God shrine{***};;;;
qstr_Build_a_shrine_for_a|Build a shrine for a greater a influence towards the people here to worship the Drowned God.{***};;;;
qstr_Weirwood_Forest|Weirwood Forest{***};;;;
qstr_Plant_a_weirwood_for|Plant a weirwood forest for a greater increase in worship to the Old Gods.{***};;;;
qstr_Shrine_to_The_Lord_o|Shrine to The Lord of Light.{***};;;;
qstr_Build_a_shrine_to_pr|Build a shrine to practice spreading the power of R'hllor.{***};;;;
qstr_Blacksmith|Blacksmith{***};;;;
qstr_Build_this_to_facili|Build this to facilitate the manufacture of tools and weapons.{***};;;;
qstr_Merchant_Guild_House|Merchant Guild House{***};;;;
qstr_Build_this_to_please|Build this to please the merchant community and engage in trade enterprises.{***};;;;
qstr_Library|Library{***};;;;
qstr_Erect_a_library_to_i|Erect a library to increase and spread knowledge in your name.{***};;;;
qstr_Prosperity_of_{s2}_h|La prospérité de {s2} est passée de {s3} à {s4}.
qstr_ERROR:_Companion_str|ERROR: Companion strings actual/needed: {reg1}/{reg2}{***};;;;
qstr_{s4}_looks_upset.|{s4} semble mécontent.
qstr_your_party|votre groupe
qstr_{reg0?One_of_your_pr|{reg0?Un de vos prisonniers, :}{s1} du {s3} a réussi à s'échapper !
qstr_TPE_ERROR!__No_valid|TPE ERROR!  No valid faction could be determined for this town.
qstr_You_brought_{reg3}_h|Vous avez mené {reg3} têtes de bétail à {s1}.
qstr_I_heard_that_there_w|J'ai entendu dire qu'un tournoi se prépare à {s62}.
qstr_I_heard_that_one_can|J'ai entendu dire qu'à {s63}, il est possible d'acheter pour un très bon prix ceci : {s62}.
qstr_I_heard_that_they_pa|J'ai entendu dire qu'à {s63}, on paie fort cher ceci : {s62}.
qstr_Well_apparently_2500|Well, apparently 25,000 Dothraki attacked the city of Braavos. Though they couldn't penetrate the lines of only 3000 Unsullied. Hah, stupid Dothraki!{***};;;;
qstr_I_ve_heard_the_boar_|I've heard the boar that killed the late King Robert Baratheon still runs free in that Kingswood area. May the seven bless he who brings back that boar dead.{***};;;;
qstr_Westeros_has_become_|Westeros has become infested with thieves, murderers and mercenaries trying to profit from the war. Its not safe around here no more.{***};;;;
qstr_There_s_been_reports|There's been reports of people being attacked by hill clans in the Vale. The name Ulf keeps being mentioned.{***};;;;
qstr_People_say_giants_ro|People say giants roam beyond the wall. Others say its nonsense and just a way to scare folk. You make up your own mind but you sure wont see me hanging around there any time soon!{***};;;;
qstr_Have_you_heard_about|Have you heard about that cave far beyond the wall? No? Umm.. yeah me neither!{***};;;;
qstr_I_would_like_to_know|I would like to know about the Andles, wouldn't you?{***};;;;
qstr_All_most_people_can_|All most people can do is fuck whores and get drunk while Westeros lies on the brink of destruction!{***};;;;
qstr_The_Others!....._The|The Others!..... The Night King!... Pahaha! What nonsense.{***};;;;
qstr_The_Wildlings_have_b|The Wildlings have been united beyond the wall they say. Call him the king beyond the wall ya know.{***};;;;
qstr_Apparently_The_Port_|Apparently The Port of Ibben holds a secret.{***};;;;
qstr_I_wish_the_world_was|I wish the world was less dangerous, few men grow old these days.{***};;;;
qstr_I_ve_been_told_the_U|I've been told the Unsullied maintains strict discipline and training, for that reason they are the most powerful warriors in Westeros and Essos!{***};;;;
qstr_Apparently_the_Unsul|Apparently the Unsullied can be bought from someone somewhere in Essos.{***};;;;
qstr_two_days_ago|il y a deux jours
qstr_You_asked_me_to_come|You asked me to come and meet you here at {s33}. So, here I am, waiting for you to show up.{***};;;;
qstr_Marshal_has_chosen_{|Marshal has chosen {s13} to levy troops.{***};;;;
qstr_Marshal_Levying_Troo|Marshal Levying Troops{***};;;;
qstr_The_marshal_is_levyi|The marshal is levying {reg0} troops from your center {s10}.{***};;;;
qstr_{s12}_of_{s1}|{s12} of {s1}{***};;;;
qstr_{s12}_of_{s2}|{s12} of {s2}{***};;;;
qstr_You_gain_right_to_ru|Vous gagnez en droit de régner.
qstr_You_lose_right_to_ru|Vous perdez en droit de régner.
qstr_You_have_been_enlist|You have been enlisted!{***};;;;
qstr_Current_rank:_{s5}|Rang actuel: {s5}
qstr_You_have_left_your_c|Vous avez quitté votre commandant!
qstr_You_have_been_grante|You have been granted leave!{***};;;;
qstr_You_have_rejoined_yo|Vous avez rejoint votre commandant!
qstr_{s3}_{s2}|{s3}, {s2}
qstr_You_are_issued_with_|You are issued with equipment of a {s1}: {s2}.{***};;;;
qstr_The_equipment_of_a_{|The equipment of a {s1}: {s2}is assigned to you.
qstr_Your_reputation_has_|Your reputation has increased by {reg12}.{***};;;;
qstr_Your_reputation_has_d|Your reputation has decreased by {reg12}.{***};;;;
qstr_People_think_neither|People think neither better or worse of you.{***};;;;
qstr_You_lost_{reg12}_ren|You lost {reg12} renown.{***};;;;
qstr_No_one_listens_to_yo|No one listens to you.{***};;;;
qstr_You_gained_{reg12}_ri|You gained {reg12} right to rule.{***};;;;
qstr_You_lost_{reg12}_rig|You lost {reg12} right to rule.{***};;;;
qstr_Your_claims_to_rule_|Your claims to rule fall on deaf ears.{***};;;;
qstr_You_gained_{reg12}_b|You gained {reg12} bardic reputation.{***};;;;
qstr_You_lost_{reg12}_bar|You lost {reg12} bardic reputation.{***};;;;
qstr_You_received_{reg12}|You received {reg12} cerfs d'argent.{***};;;;
qstr_This_performance_cos|This performance cost you {reg12} cerfs d'argent.{***};;;;
qstr_lack_of_room|lack of room{***};;;;
qstr_A_{s1}_dies|A {s1} dies{***};;;;
qstr_A_{s1}_is_wounded|A {s1} is wounded{***};;;;
qstr_You_have_not_learnt_|You have not learnt the reasons for your failure.{***};;;;
qstr_You_have_understood_|You have understood why you failed, and so gain {reg6} extra experience.{***};;;;
qstr_You_have_a_slight_di|You have a slight dishonour Bonus{***};;;;
qstr_You_have_a_mild_dish|You have a mild dishonour Bonus{***};;;;
qstr_You_have_a_slight_te|You have a slight terrain malus on these plains.{***};;;;
qstr_You_have_a_slight_ter|You have a slight terrain bonus on this mountain.{***};;;;
qstr_You_have_a_strong_te|You have a strong terrain malus on this steppe.{***};;;;
qstr_You_have_a_slight_terr|You have a slight terrain malus on this snowy plain.{***};;;;
qstr_You_have_a_slight_terra|You have a slight terrain malus in this desert.{***};;;;
qstr_You_have_a_slight_terrai|You have a slight terrain malus on this bridge.{***};;;;
qstr_You_have_a_very_stro|You have a very strong terrain bonus in this mountainous forest.{***};;;;
qstr_You_have_a_strong_ter|You have a strong terrain bonus in this steppe forest.{***};;;;
qstr_You_have_a_strong_terr|You have a strong terrain bonus in this forest.{***};;;;
qstr_You_have_a_strong_terra|You have a strong terrain bonus in this snowy forest.{***};;;;
qstr_You_have_a_strong_terrai|You have a strong terrain bonus in this desert forest.{***};;;;
qstr_Your_large_party_mak|Your large party makes it hard to sneak.{***};;;;
qstr_You_have_a_slight_terrain|You have a slight terrain malus on this desert.{***};;;;
qstr_You_have_a_very_stron|You have a very strong terrain bonus on this mountainous forest.{***};;;;
qstr_prepare_to_volley|préparer salve
qstr_end_volley|fin salve
qstr_Everyone|Tout le monde
qstr_Archers!!_use_fire!!|Archers!! use fire!!{***};;;;
qstr_Archers!!_extinguish|Archers!! extinguish flames!!{***};;;;
qstr_Belfry_was_destroyed|Belfry was destroyed.{***};;;;
qstr_Your_party_consumed_|Votre groupe a consommé {reg1} unités de nourriture{reg4?, {reg4} en recherche : }(Jours restants : {reg2}).
qstr_{s2}_managed_to_fora|{s2} mène la recherche de {reg4} unités de nourriture pour compléter l'approvisionnement.
qstr_{reg4}_killed_{reg5}|{reg4} décès, {reg5} blessés
qstr_{s0}^{s1}:_{reg3}__{|{s0}^{s1} : {reg3} ({s2})
qstr_{s0}^{s1}_ally_:_{re|{s0}^{s1}(ally): {reg3} ({s2}){***};;;;
qstr_{s0}^{s1}_enemy_:_{r|{s0}^{s1}(enemy): {reg3} ({s2}){***};;;;
qstr_{reg0}_of_your_priso|{reg0} of your prisoners escaped!{***};;;;
qstr_ready_bows_and_missi|arcs et missiles prêts
qstr_ready_side_arms|armes de flanc prêtes
qstr_ready_two_handers_an|ready two-handers and polearms{***};;;;
qstr_brandish_shields|brandir boucliers
qstr_doff_your_shields|ôter boucliers
qstr_stand_and_fight|position et se battre
qstr_avoid_melee|éviter les corps à corps
qstr_shields_at_will|boucliers à sa guise
qstr_brace_for_charge|soutien charge
qstr_remove_brace_and_fig|arrêter soutien et se battre
qstr_{s2}:_{reg3}_{reg4}_|{s2} : {reg3}, {reg4} jours
qstr_{s4}:_{reg4}|{s4} : {reg4}
qstr_{s1}__gathering_supp|{s1} (gathering support){***};;;;
qstr_{s1}__intelligence_|{s1} (en quête de renseignements)
qstr_{s1}__attempting_to_|{s1} (essaye de vous rejoindre)
qstr_{s1}__embassy_|{s1} (embassy){***};;;;
qstr_{s1}__minister_|{s1} (minister){***};;;;
qstr_{s1}__under_arms_|{s1} (sous les drapeaux)
qstr_{s1}__separated_afte|{s1} (séparation après la bataille)
qstr_Westeros_and_Essos.|Westeros and Essos.{***};;;;
qstr_spear_man|spear man{***};;;;
qstr_ruler|{le souverain/la souveraine}
qstr_free_man|{un homme libre/une femme libre}
qstr__knows_of_you.|connu de vous.
qstr__has_no_opinion_abou|sans opinion sur vous.
qstr_{s57}_and_{s50}|{s57} et {s50}
qstr_{s1}_Renown:_{reg40}|{s1}. Renommée : {reg40}, Controverse : {reg41}^Honneur : {reg42}, Droit à régner : {reg43}^Vous êtes {s44} du {s45}^{reg45?{reg46?Votre monarque, {s46},{s47}:Vous êtes monarque du {s45}}:}^^Amis : ^Ennemis : ^^Fiefs :^ {reg50?{s50}:pas de fief}
qstr_{s1}{s2}_{reg46?Repu|{s1}{s2} {reg46?Réputation : {s42}.:}^{s44}, noble du {s45}. Renommée : {reg40}, Controverse : {reg41}^{reg46?Vassal de l'honorable {s46}, Relations : {reg47}:Monarque du {s45}}. {reg46?Impatience : {reg43}:}^^{reg48?Actuellement prisonnier, {s48}:}^Nombre de jours depuis la dernière rencontre : {reg49}^^Fiefs {reg51?(promesse d'un fief):}:^  {reg50?{s50}:pas de fief}
qstr_conventional|conventionnelle
qstr_adventurous|aventureuse
qstr_otherwordly|mondaine
qstr_ambitious|ambicieuse
qstr_moralist|moraliste
qstr_just_met|juste une rencontre
qstr_admirer|admirative
qstr_promised|prometteuse
qstr_breakup|en rupture
qstr_unknown|inconnue
qstr_Heroic_{s50}|Heroic {s50}{***};;;;
qstr_Allegoric_{s50}|Allégorique {s50}
qstr_Comic_{s50}|Comique {s50}
qstr_Mystic_{s50}|Mystique {s50}
qstr_Tragic_{s50}|Tragique {s50}
qstr_{s1}{s2}_Controversy|{s1}{s2} Controverse : {reg41}^Réputation : {s42}, Relation de séduction: {s43}^Localisation : {s45}^{reg46?Son père, {s46}:Son protecteur, {s46}}{s47}^Visite autorisée: {reg45?oui:non} {reg48?Promise à {s48}:}^^Nombre de jours depuis la dernière rencontre : {reg49}^^Poèmes :^  {reg50?{s50}:pas de poème}
qstr_Gathering_support|En quête de soutien
qstr_Gathering_intelligen|{s66}, en quête de renseignements
qstr_Ambassy_to_{s66}|{s66}, en ambassade
qstr_Minister|Ministre
qstr_none|Aucun
